;Runden_gesamt;Don;Flo;Gero;Marco;Toni;Juergen;Frind;Majo;Domi;Elias;Tobi;;;;;;;;;;
3.1.;1;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;2;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;3;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;4;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;5;0;0;;2;2;;;;;;;;;;;;;;;;
3.1.;6;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;7;2;2;;0;0;;;;;;;;;;;;;;;;
3.1.;8;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;9;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;10;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;11;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;12;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;13;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;14;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;15;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;16;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;17;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;18;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;19;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;20;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;21;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;22;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;23;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;24;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;25;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;26;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;27;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;28;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;29;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;30;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;31;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;32;0;0;;1;0;;;;;;;;;;;;;;;;
3.1.;33;0;0;;0;1;;;;;;;;;;;;;;;;
3.1.;34;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;35;1;0;;0;0;;;;;;;;;;;;;;;;
3.1.;36;0;1;;0;0;;;;;;;;;;;;;;;;
3.1.;37;1;0;;0;0;;;;;;;;;;;;;;;;
4.1.;38;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;39;0;1;0;;0;;;;;;;;;;;;;;;;
4.1.;40;0;0;0;0;1;;;;;;;;;;;;;;;;
4.1.;41;0;1;0;0;0;;;;;;;;;;;;;;;;
4.1.;42;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;43;0;1;0;0;0;;;;;;;;;;;;;;;;
4.1.;44;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;45;1;0;0;0;0;;;;;;;;;;;;;;;;
4.1.;46;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;47;0;1;0;0;0;;;;;;;;;;;;;;;;
4.1.;48;0;0;1;0;0;;;;;;;;;;;;;;;;
4.1.;49;0;0;1;0;0;;;;;;;;;;;;;;;;
4.1.;50;0;0;1;0;0;;;;;;;;;;;;;;;;
4.1.;51;0;0;;0;1;;;;;;;;;;;;;;;;
4.1.;52;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;53;1;0;0;0;0;;;;;;;;;;;;;;;;
4.1.;54;1;0;0;0;0;;;;;;;;;;;;;;;;
4.1.;55;0;1;0;0;0;;;;;;;;;;;;;;;;
4.1.;56;0;0;0;1;0;;;;;;;;;;;;;;;;
4.1.;57;0;0;1;0;0;;;;;;;;;;;;;;;;
1.2.;58;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;59;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;60;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;61;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;62;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;63;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;64;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;65;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;66;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;67;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;68;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;69;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;70;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;71;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;72;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;73;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;74;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;75;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;76;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;77;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;78;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;79;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;80;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;81;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;82;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;83;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;84;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;85;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;86;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;87;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;88;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;89;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;90;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;91;1;;0;0;0;;;;;;;;;;;;;;;;
1.2.;92;0;;1;0;0;;;;;;;;;;;;;;;;
1.2.;93;0;;0;1;0;;;;;;;;;;;;;;;;
1.2.;94;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;95;0;;0;0;1;;;;;;;;;;;;;;;;
1.2.;96;0;;0;0;0;1;;;;;;;;;;;;;;;
1.2.;97;0;;1;0;0;0;;;;;;;;;;;;;;;
1.2.;98;0;;0;0;1;0;;;;;;;;;;;;;;;
1.2.;99;1;;0;0;0;0;;;;;;;;;;;;;;;
1.2.;100;0;;0;0;0;1;;;;;;;;;;;;;;;
1.2.;101;0;;2;2;0;0;;;;;;;;;;;;;;;
1.2.;102;0;;1;0;0;0;;;;;;;;;;;;;;;
1.2.;103;0;;1;0;0;0;;;;;;;;;;;;;;;
14.2.;104;0;1;;;0;;;;;;;;;;;;;;;;
14.2.;105;0;0;;;1;;;;;;;;;;;;;;;;
14.2.;106;0;1;;;0;;;;;;;;;;;;;;;;
14.2.;107;0;1;;;0;;;;;;;;;;;;;;;;
14.2.;108;0;0;;;1;;;;;;;;;;;;;;;;
14.2.;109;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;110;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;111;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;112;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;113;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;114;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;115;0;0;;;1;;;;;;;;;;;;;;;;
14.2.;116;0;1;;;0;;;;;;;;;;;;;;;;
14.2.;117;0;0;;;1;;;;;;;;;;;;;;;;
14.2.;118;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;119;0;1;;;0;;;;;;;;;;;;;;;;
14.2.;120;0;1;;;0;;;;;;;;;;;;;;;;
