"brand","type","share","performance","dividend"
"AIRBUS","Aktie","3.831","2.42","0.765"
"ALLIANZ SE NA O.N.","Aktie","4.711","1.18","5.181"
"ALTRIA GRP INC. DL-,333","Aktie","3.546","0.07","8.198"
"BED BATH + BEYOND DL-,01","Aktie","3.148","-17.31",""
"COCA-COLA CO. DL-,25","Aktie","5.126","1.2","3.327"
"COVESTRO AG O.N.","Aktie","4.036","1.89","2.917"
"EPR PROPERTIES DL -,01","Aktie","1.845","1.14","1.291"
"HELLA GMBH+CO. KGAA O.N.","Aktie","3.47","-4.04","2.012"
"HOLLYFRONTIER CORP.DL-,01","Aktie","1.87","5.7","4.427"
"INFINEON TECH.AG NA O.N.","Aktie","1.728","4.35","0.752"
"JOHNSON + JOHNSON DL 1","Aktie","4.218","-0.01","2.521"
"LYX.IF-ROB.AI DLA","ETF","6.817","3.84",""
"MCDONALDS CORP. DL-,01","Aktie","4.812","0","2.435"
"MEYER BUR.TECH.NAM.SF-,05","Aktie","3.566","2.93",""
"PAYPAL HDGS INC.DL-,0001","Aktie","4.309","24.02","0.033"
"PERNOD-RICARD O.N.","Aktie","3.887","1.87","1.718"
"PUMA SE","Aktie","4.396","2.96","0.659"
"SIEMENS ENERGY AG NA O.N.","Aktie","4.487","5.88","0.551"
"SIEMENS HEALTH.AG NA O.N.","Aktie","3.575","-1.43","1.806"
"SONY CORP.","Aktie","3.537","-1.32","0.469"
"TENCENT HLDGS HD-,00002","Aktie","4.087","11.85","0.258"
"TRANSALTA RENEWABLES INC.","Aktie","1.667","-2.63","4.478"
"VARTA AG O.N.","Aktie","2.236","6.97","0.143"
"VISA INC. CL. A DL -,0001","Aktie","3.526","-1.36","0.601"
"X(IE)-MSCI EM.MKTS 1CDL","ETF","0.711","0.03",""
"X(IE)-MSCI WORLD 1C","ETF","7.204","-0.31",""
"XINYI SOLAR HLDGS","Aktie","3.656","2.08","1.754"
"","","","",""
