gps;mode;;
4223;;;
3942;;;
4254;;;
4537;;;
4927;;;
5161;;;
4856;;;
5133;;;
5388;;;
5105;;;
4821;;;
5105;;;
4774;;;
5081;;;
4726;;;
5057;;;
4679;;;
4339;;;
4726;;;
5057;;;
5322;;;
5559;;;
5371;;;
5196;;;
4898;;;
5423;;;
5678;;;
5423;;;
5702;;;
6104;;;
6213;;;
6299;;;
6225;;;
6130;;;
5993;;;
6142;;;
6265;;;
6179;;;
6043;;;
5850;;;
5593;;;
5332;;;
5071;;;
5356;;;
5147;;;
5405;;;
5120;;;
5381;;;
5097;;;
4741;;;
5073;;;
5334;;;
5073;;;
5323;;;
5585;;;
5822;;;
5561;;;
5799;;;
5561;;;
5799;;;
6017;;;
6155;;;
6282;;;
6371;;;
6447;;;
6496;;;
6432;;;
6328;;;
6212;;;
6069;;;
5916;;;
6113;;;
5987;;;
5785;;;
5594;;;
5380;;;
5142;;;
5363;;;
5601;;;
5792;;;
5560;;;
5815;;;
5577;;;
5339;;;
5601;;;
5339;;;
5062;;;
4638;;;
5062;;;
5291;;;
5520;;;
5768;;;
6006;;;
6139;;;
5949;;;
6096;;;
6213;;;
6110;;;
6237;;;
6096;;;
6225;;;
6082;;;
5928;;;
5700;;;
5466;;;
5772;;;
5552;;;
5796;;;
5524;;;
5772;;;
5495;;;
5748;;;
5971;;;
5726;;;
5951;;;
5702;;;
5930;;;
5678;;;
5416;;;
5702;;;
5930;;;
6080;;;
5030;;;
5750;;;
5468;;;
5225;;;
5468;;;
5726;;;
5951;;;
6112;;;
5930;;;
6098;;;
6215;;;
6334;;;
6227;;;
6127;;;
6013;;;
5846;;;
5655;;;
5416;;;
5679;;;
5440;;;
5703;;;
5916;;;
6084;;;
6205;;;
6309;;;
6389;;;
6460;;;
6504;;;
6449;;;
6359;;;
6259;;;
6164;;;
6295;;;
6397;;;
6478;;;
6527;;;
6572;;;
6522;;;
6572;;;
6606;;;
6632;;;
6655;;;
6673;;;
6637;;;
6604;;;
6624;;;
6598;;;
6624;;;
6649;;;
6672;;;
6690;;;
6657;;;
6626;;;
6649;;;
6668;;;
6686;;;
6711;;;
6737;;;
6707;;;
6725;;;
6689;;;
6713;;;
6730;;;
6754;E;;
6739;;;
6709;;;
6727;;;
6742;;;
6714;;;
6737;;;
6704;;;
6730;;;
6759;E;;
6804;E;;
6849;E;;
6800;E;;
6845;E;;
6886;E;;
6841;E;;
6804;E;;
6848;E;;
6887;E;;
6839;E;;
6791;E;;
6753;;;
6778;E;;
6748;;;
6778;E;;
6822;E;;
6870;E;;
6821;E;;
6785;E;;
6749;;;
6776;E;;
6744;;;
6771;E;;
6742;;;
6760;;;
6789;E;;
6834;E;;
6785;E;;
6830;E;;
6875;E;;
6830;E;;
6794;E;;
6754;;;
6724;;;
6695;;;
6716;;;
6683;;;
6652;;;
6691;;;
6657;;;
6634;;;
6660;;;
6683;;;
6703;;;
6724;;;
6698;;;
6727;;;
6701;;;
6675;;;
6642;;;
6667;;;
6691;;;
6716;;;
6734;;;
6755;;;
6719;;;
6737;;;
6755;;;
6778;;;
6745;;;
6765;;;
6792;E;;
6844;E;;
6803;E;;
6770;;;
6799;E;;
6775;;;
6799;E;;
6767;;;
6736;;;
6705;;;
6729;;;
6747;;;
6713;;;
6685;;;
6706;;;
6724;;;
6693;;;
6717;;;
6691;;;
6663;;;
6686;;;
6704;;;
6670;;;
6693;;;
6717;;;
6737;;;
6709;;;
6683;;;
6650;;;
6592;;;
6525;;;
6461;;;
6353;;;
6242;;;
6360;;;
6249;;;
6129;;;
5968;;;
6129;;;
5947;;;
5680;;;
5435;;;
5662;;;
5407;;;
5662;;;
5947;;;
6115;;;
5898;;;
5614;;;
5325;;;
5590;;;
5301;;;
4988;;;
4661;;;
4304;;;
4015;;;
3733;;;
3400;;;
3774;;;
4093;;;
4355;;;
4616;;;
4971;;;
5274;;;
4935;;;
5249;;;
5486;;;
5709;;;
5922;;;
6096;;;
6227;;;
6350;;;
5758;;;
5492;;;
5734;;;
5972;;;
6198;;;
6041;;;
5837;;;
5643;;;
5474;;;
5725;;;
5979;;;
6161;;;
6297;;;
6410;;;
6304;;;
6437;;;
6340;;;
6241;;;
6365;;;
6455;;;
6528;;;
6585;;;
6647;;;
6575;;;
6507;;;
6407;;;
6285;;;
6159;;;
6297;;;
6145;;;
6310;;;
6188;;;
6346;;;
6443;;;
6534;;;
6597;;;
6643;;;
6581;;;
6648;;;
6704;;;
6637;;;
6688;;;
6719;;;
6676;;;
6626;;;
6570;;;
6620;;;
6553;;;
6480;;;
6371;;;
6471;;;
6359;;;
6462;;;
6544;;;
6615;;;
6570;;;
6496;;;
6390;;;
6254;;;
6378;;;
6239;;;
6365;;;
6225;;;
6353;;;
6210;;;
6102;;;
5928;;;
5643;;;
5400;;;
5644;;;
5372;;;
5620;;;
5343;;;
5026;;;
4648;;;
4304;;;
4611;;;
4977;;;
5270;;;
4867;;;
5197;;;
4794;;;
5172;;;
5416;;;
5636;;;
5880;;;
5611;;;
5358;;;
5038;;;
5356;;;
4989;;;
5332;;;
5576;;;
5845;;;
6100;;;
6310;;;
6444;;;
6530;;;
6444;;;
6310;;;
6178;;;
6016;;;
5796;;;
5552;;;
5821;;;
6058;;;
5821;;;
6058;;;
5849;;;
5697;;;
5457;;;
5162;;;
4756;;;
4454;;;
4719;;;
5088;;;
5334;;;
5531;;;
5280;;;
4916;;;
5272;;;
5509;;;
5213;;;
4813;;;
4472;;;
4146;;;
4210;;;
3776;;;
3356;;;
3735;;;
3332;;;
3653;;;
3999;;;
4265;;;
4532;;;
4813;;;
4472;;;
4117;;;
3776;;;
4117;;;
4406;;;
4680;;;
5072;;;
5381;;;
5652;;;
5875;;;
5960;;;
6218;;;
6424;;;
6283;;;
6467;;;
6615;;;
6715;;;
6790;;;
6841;;;
6903;;;
6828;;;
6885;;;
6927;;;
6880;;;
6919;;;
6862;;;
6799;;;
6718;;;
6787;;;
6833;;;
6781;;;
6851;;;
6903;;;
6845;;;
6776;;;
6822;;;
6738;;;
6799;;;
6851;;;
6782;;;
6688;;;
6571;;;
6678;;;
6842;;;
6760;;;
6646;;;
6750;;;
6842;;;
6731;;;
6817;;;
6877;;;
6935;;;
6982;;;
7007;;;
7034;;;
7062;;;
7083;;;
7102;;;
7124;;;
7089;;;
7053;;;
7021;;;
6988;;;
7010;;;
7037;;;
